SrcIP,SrcPort,DstIP,DstPort,SegmentSize,Count
100.32.161.83,57218,180.242.5.133,33789,20,1
93.1.61.119,18938,248.104.123.199,443,44,1
108.102.197.91,32317,216.148.178.203,23,40,1
168.96.212.172,52429,24.246.5.133,5631,20,1
236.70.233.84,52729,167.164.24.202,54967,159,1
50.175.28.133,64410,179.215.41.104,443,393,1
50.175.28.133,64410,179.215.41.104,443,121,1
50.175.28.133,64410,179.215.41.104,443,146,1
50.175.28.133,64410,179.215.41.104,443,32,1
93.137.11.156,55638,77.193.152.202,5006,20,1
167.230.10.206,7194,180.208.67.150,591,40,1
202.162.89.167,43236,61.238.178.203,8080,40,1
191.177.178.203,465,247.198.238.58,48269,1480,1
203.162.89.167,59693,33.53.5.133,20546,40,1
72.115.207.193,58928,51.61.5.133,8401,24,1
80.166.55.170,47050,138.203.152.202,8728,20,1
30.195.196.3,59392,174.194.152.202,49171,32,1
169.32.161.83,61000,21.12.164.163,22145,20,1
187.34.236.89,59341,110.227.67.150,37270,20,1
29.199.211.162,35389,252.209.67.150,15122,20,1
160.179.171.154,58344,112.165.24.202,10017,267,1
114.179.102.87,53741,211.164.24.202,587,20,1
172.188.109.185,25090,54.224.178.203,79,20,1
14.220.152.202,830,206.191.47.195,19116,492,1
160.162.89.167,16187,88.231.152.202,48870,40,1
58.97.243.86,20851,20.4.67.150,23,24,1
46.75.14.14,56086,72.22.15.133,1433,20,1
252.253.227.156,80,236.108.67.150,44580,1936,1
252.253.227.156,80,236.108.67.150,44580,1480,1
252.253.227.156,80,236.108.67.150,44580,4376,3
11.9.43.65,80,58.45.15.133,40961,45,1
62.45.74.185,52800,218.89.67.150,23,20,1
36.241.20.147,45568,199.196.100.151,443,40,1
80.166.55.170,60652,182.4.164.163,8728,20,1
195.205.155.175,26963,248.104.123.199,443,44,1
196.151.67.20,50403,2.33.5.133,7473,20,1
208.5.173.157,48322,19.104.67.60,443,1460,2
84.205.195.175,39569,70.172.178.203,23,40,1
208.5.173.157,19714,19.104.67.60,443,1460,3
30.33.161.83,59798,166.29.238.103,30473,20,1
142.33.161.83,53470,89.113.67.150,1111,20,1
241.33.5.133,21845,42.60.26.165,57568,32,1
28.119.8.220,27253,132.232.152.202,51007,24,1
208.228.6.221,40001,205.44.5.133,1433,24,1
67.166.55.170,54629,41.138.178.203,8728,20,1
49.208.81.205,49546,186.163.24.202,427,24,1
207.191.47.195,56077,64.35.67.150,15659,32,1
0.24.170.35,48844,98.90.67.150,443,40,1
197.33.5.133,9023,54.20.102.212,54276,40,1
